noise_type,alpha,baseline,naft,eda
typographic,0.0,0.9119,0.89,0.8959
typographic,0.1,0.7329,0.7779,0.7285
typographic,0.2,0.517,0.6937,0.5697
typographic,0.3,0.4207,0.6406,0.4283
typographic,0.4,0.3587,0.5974,0.3627
typographic,0.5,0.3465,0.5531,0.349
typographic,0.6,0.3378,0.5354,0.3403
typographic,0.7,0.3324,0.4722,0.3369
typographic,0.8,0.3333,0.4215,0.3316
typographic,0.9,0.3333,0.3973,0.3333
typographic,1.0,0.3333,0.3917,0.3324
abbreviation,0.0,0.9119,0.906,0.8899
abbreviation,0.1,0.914,0.898,0.9
abbreviation,0.2,0.904,0.9,0.898
abbreviation,0.3,0.908,0.896,0.88
abbreviation,0.4,0.896,0.882,0.888
abbreviation,0.5,0.888,0.888,0.878
abbreviation,0.6,0.888,0.892,0.88
abbreviation,0.7,0.888,0.8819,0.878
abbreviation,0.8,0.88,0.874,0.858
abbreviation,0.9,0.88,0.878,0.862
abbreviation,1.0,0.876,0.876,0.872
slang,0.0,0.9119,0.9,0.8959
slang,0.1,0.91,0.888,0.8899
slang,0.2,0.912,0.9,0.8879
slang,0.3,0.904,0.896,0.8899
slang,0.4,0.91,0.894,0.892
slang,0.5,0.906,0.89,0.8839
slang,0.6,0.9,0.894,0.892
slang,0.7,0.908,0.896,0.898
slang,0.8,0.898,0.886,0.89
slang,0.9,0.902,0.886,0.878
slang,1.0,0.9,0.888,0.892
emoji,0.0,0.9119,0.9,0.8939
emoji,0.1,0.898,0.886,0.8959
emoji,0.2,0.888,0.898,0.884
emoji,0.3,0.89,0.88,0.862
emoji,0.4,0.888,0.876,0.8618
emoji,0.5,0.8679,0.846,0.8659
emoji,0.6,0.8617,0.8559,0.8739
emoji,0.7,0.8497,0.852,0.8496
emoji,0.8,0.8335,0.8457,0.8292
emoji,0.9,0.8429,0.8298,0.837
emoji,1.0,0.8393,0.8438,0.8154
punctuation,0.0,0.9119,0.894,0.892
punctuation,0.1,0.912,0.906,0.8919
punctuation,0.2,0.9119,0.904,0.906
punctuation,0.3,0.9119,0.894,0.8979
punctuation,0.4,0.906,0.896,0.884
punctuation,0.5,0.908,0.876,0.8959
punctuation,0.6,0.898,0.896,0.896
punctuation,0.7,0.902,0.9,0.894
punctuation,0.8,0.904,0.898,0.884
punctuation,0.9,0.894,0.89,0.89
punctuation,1.0,0.894,0.884,0.89
sarcasm,0.0,0.9119,0.906,0.8999
sarcasm,0.1,0.9119,0.9,0.8819
sarcasm,0.2,0.9119,0.9119,0.8919
sarcasm,0.3,0.9119,0.9159,0.9039
sarcasm,0.4,0.9139,0.9139,0.8979
sarcasm,0.5,0.9119,0.9119,0.91
sarcasm,0.6,0.9159,0.9238,0.9079
sarcasm,0.7,0.9159,0.9299,0.8998
sarcasm,0.8,0.9119,0.9359,0.9019
sarcasm,0.9,0.9139,0.9359,0.9059
sarcasm,1.0,0.9139,0.9438,0.9059
